"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1500011B03Rik"	1739	0.00851931615626388	4.9055269558449	0.00313261018044877	0.956888984007896	0.964172034744458	"1500011B03Rik"	4.9375523018172	4.84109922442729	4.94823875870086	4.89495274848814	4.97411332868922	4.83017023601086
"1500015A07Rik"	1865	0.310875062857935	2.40077508824773	0.550647727451417	0.481576340852065	0.536007858265571	"1500015A07Rik"	2.58226101107821	2.09046928847685	2.84914271646847	1.74112201007055	2.82503226423704	1.8830536976643
"1600012H06Rik"	2756	1.16118769404072	4.36325601372864	37.7044774432749	0.00042398196909093	0.00135225121723495	"1600012H06Rik"	4.82416315869471	4.79221519406272	4.8561316238296	3.66266901550894	3.54929362353245	3.79193165380625
"1600014C10Rik"	3453	2.38619653004194	5.27981898278017	238.254064616377	8.91001676930389e-07	2.84615781973158e-05	"1600014C10Rik"	6.04341011247556	6.01771746690813	6.00645014686618	3.82375444960376	3.50616106449168	3.58655046769899
"1600020E01Rik"	681	0.19913973214221	5.49834490034451	1.08683846726508	0.330939265329222	0.384997428422558	"1600020E01Rik"	5.55340368531328	5.71377364421312	5.50761221390283	5.73411862846314	5.0925698474199	5.27891871653995
"1700001J03Rik"	4070	-5.46077533548417	3.80642146100928	20.7779513518944	0.00243507144552023	0.00529606600317824	"1700001J03Rik"	0.265163271371102	-0.61848959620998	-1.42634289004382	2.72739838133745	2.78228351753018	6.13294207684337
"1700001L05Rik"	6003	-2.73421426799132	2.40935812722171	19.6303933427246	0.00284676295804053	0.00604348809998816	"1700001L05Rik"	0.43956091656779	0.241070333630834	0.98549313557394	1.63821264853804	3.41582321575053	3.85796150477736
"1700007L15Rik"	747	-0.0513618235834895	2.97795532781932	0.0211111786514955	0.888464456383935	0.907068844748741	"1700007L15Rik"	2.88333742600513	3.08797180555188	2.86912429511469	3.45883776131173	2.93319840567549	2.40877649863001
"1700008J07Rik"	2432	-0.224670241194369	1.58431994817744	0.29206797281975	0.605220979828779	0.655561699244562	"1700008J07Rik"	1.28518186726159	1.65295948151932	1.45085552839031	1.83717693364259	2.09042479785236	0.801178505840311
"1700010I14Rik"	1976	-1.99907790874467	2.79472340911376	26.3149406638094	0.00124557789076791	0.00307576155090805	"1700010I14Rik"	0.942905700425231	1.32662986655784	2.0672518439087	3.43600984550153	3.42511584188011	3.57350820542613
"1700017B05Rik"	6115	-0.134408512318196	6.08952401881226	0.452527782402376	0.522154173989917	0.576275847372584	"1700017B05Rik"	6.01268541033229	6.04810889192381	6.00419312261841	6.43053395536267	6.26710102521711	5.65205781078509
"1700019D03Rik"	4304	-5.22634716978471	3.10603223303191	24.0054474485677	0.00162272170849199	0.0038022306653788	"1700019D03Rik"	-1.86115784214802	-0.400766338566844	-0.57012734660268	2.03243289180502	2.90690761887509	5.32633876712498
"1700027H10Rik"	583	-10.050792124029	1.99059747819332	146.238721479771	5.31563457565963e-05	0.00032019723553985	"1700027H10Rik"	-3.0488798875306	-3.0488798875306	-3.0488798875306	2.7021095023118	2.59737002051395	3.57350820542613
"1700028E10Rik"	2718	-1.0173562120598	2.45639910342614	6.1077934192658	0.0418538714661128	0.0614516992011794	"1700028E10Rik"	2.20132025594841	1.677094379127	1.73840903379607	2.2574314769224	2.69278734113854	3.46469475773955
"1700029J07Rik"	4450	0.478499905153724	3.3161339507289	1.19239634876039	0.310066045350284	0.364045495396327	"1700029J07Rik"	3.00857679055735	3.54672154146167	3.90147724612668	2.14931401316428	3.54929362353245	3.15022688376617
"1700030K09Rik"	2703	1.17136200770158	5.35056630823085	32.7939254368427	0.000648888681544846	0.00186884217394302	"1700030K09Rik"	5.79991210411475	5.85534445682355	5.79424641222179	4.32401141121841	4.51161438086115	5.02957265292166
"1700037C18Rik"	1097	-0.566035754108406	2.26121901996796	2.72122942680873	0.141857885157597	0.18182989845907	"1700037C18Rik"	1.70518091234934	1.93902060459106	2.19939133265113	2.90413134616211	2.30695754725534	2.22081365651067
"1700037F03Rik"	287	-4.86330610340252	1.55819390456913	68.2314786348238	6.37876758589104e-05	0.000357348755168125	"1700037F03Rik"	-1.86115784214802	-1.5862218437042	-1.63564962379239	1.40735132954071	2.83900491811463	2.96288701488753
"1700037H04Rik"	1975	-0.663161719760491	4.36454030428042	6.4186484479118	0.0381722334245121	0.056765932264935	"1700037H04Rik"	4.04345813349874	3.98888287387581	3.9632001776313	5.07072479218143	4.56302956460806	4.20099514517642
"1700041G16Rik"	2069	-0.992316065297427	1.93104335086621	8.55168821326023	0.0215375634757166	0.0344075709185228	"1700041G16Rik"	1.01816590257077	1.38640493457001	1.67171358454074	2.59627335231038	2.1364094396687	2.25389102460779
"1700048O20Rik"	1848	-1.58753307626997	2.49004257067253	16.5627919281067	0.00448557835318108	0.00883826582534266	"1700048O20Rik"	1.37381366708073	0.944553013715755	2.04984980882214	3.29089322961276	2.93319840567549	2.9827543217326
"1700049J03Rik"	6128	0.163115973606024	2.73688704168176	0.243435337011501	0.636442663517268	0.684186414386227	"1700049J03Rik"	2.92304325114176	2.89568377569466	2.59694234175491	2.48205401192357	3.04591527450659	2.31785402882791
"1700056E22Rik"	967	-0.620648529364573	1.34866852273721	2.10948846661201	0.188573061284805	0.234152049355825	"1700056E22Rik"	1.08969394040723	1.35682696037281	0.513256741727663	2.03243289180502	1.6258922752124	0.96993258376476
"1700066B19Rik"	2651	-1.93308123905649	2.58375402880978	26.6952100336463	0.00119466215998045	0.00297552785726647	"1700066B19Rik"	1.65889781818919	1.1990938456878	1.1899664959797	3.6692088920742	2.7530640098327	3.18494307316591
"1700066M21Rik"	4239	1.00641501636786	2.77882554973094	3.99854249205447	0.0845694845492021	0.114283801721226	"1700066M21Rik"	3.38776778645046	3.29708734164363	2.78748181272875	2.30859616900189	2.76774773678505	0.888021564789014
"1700094D03Rik"	3085	-0.204869441100681	4.31562370854319	0.293620113374507	0.604282378195373	0.654605593285649	"1700094D03Rik"	4.16848319903702	4.21177262496933	4.25278722722196	4.29892770949957	3.49737761997956	5.05325360615894
"1700095A21Rik"	1069	-11.8934025871514	3.83073808566041	42.9855248164419	0.00106952694197083	0.00273475846025624	"1700095A21Rik"	-3.0488798875306	-3.0488798875306	-3.0488798875306	2.81257366676371	3.6557521656283	6.07164953289182
"1700096K18Rik"	1449	1.09082012957327	3.10264791763855	11.7592637546074	0.0105457267451379	0.0184248322992987	"1700096K18Rik"	3.38776778645046	3.66004202961519	3.5456892028916	1.99126910912472	2.72324045203692	2.57504922602452
"1700097N02Rik"	845	-2.92457889020786	1.23798115133606	66.8774232459955	6.81325376752498e-05	0.00037220340400603	"1700097N02Rik"	-0.653883063374771	-0.741057040966213	-0.466327537633578	2.23996524589209	1.83555415372361	2.116772293578
"1700102P08Rik"	1933	0.429059442902357	1.58329190793361	0.750785944231654	0.414193850006887	0.468692089759996	"1700102P08Rik"	1.34487055118301	1.81399354638378	2.0672518439087	0.346634799634669	1.3417638121967	2.00464067126016
"1700109H08Rik"	715	0.318146339566144	1.56819979042925	0.722577378582287	0.422688978834352	0.477305473792138	"1700109H08Rik"	1.81478171186535	1.29578717944678	1.94078473258798	0.972357566084088	1.41821155083636	1.7502686764658
"1700113A16Rik"	983	-1.21409619785361	1.56080159770275	4.68966331123543	0.0660201582859132	0.09189818963293	"1700113A16Rik"	1.05437316626017	0.585134811647126	1.02164843356276	1.09400462600949	1.49081140220947	2.96288701488753
"1700123O20Rik"	1891	-0.651565248231872	5.89960169171991	24.249957330399	0.00157642059504549	0.00371382355988101	"1700123O20Rik"	5.55023761410526	5.62660952046899	5.43406483351193	6.3463214839021	6.1723329556527	6.02929163524563
"1810010H24Rik"	3417	-2.98354731601691	2.68989425245151	50.327010117443	0.000171230843205802	0.00069461770582923	"1810010H24Rik"	0.779472869373865	0.820025748811468	0.23392661741025	4.04102919659304	3.02161711487274	3.30026501964329
