"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1700026J12Rik"	1329	-0.993005126175552	2.54887538891982	1.09168619736044	0.32535767797995	0.685098920169856	"1700026J12Rik"	-0.0685152776128616	2.90710303453428	1.37832854790239	0.563867015380882	2.42521880140149	4.13267706665479
"1700027H10Rik"	583	1.15228392744713	3.96093857583455	2.24666969070664	0.170668550004768	0.510011858542286	"1700027H10Rik"	2.41526853548089	5.18090178080524	4.75621482296927	2.70769513019318	2.56214933529654	3.65802378640403
"1700028E10Rik"	2718	-0.130586698516339	2.85344472258639	0.0227918495203759	0.88357811502581	0.972308064067687	"1700028E10Rik"	2.91159031037954	3.29109739312601	1.74747031906643	2.26592618315097	2.6569407111071	3.54947285989757
"1700029J07Rik"	4450	0.451914929226367	3.28943197766582	0.339201104013647	0.575653729383241	0.854837327192041	"1700029J07Rik"	3.57350061059586	2.73516596720292	3.88871998494416	2.15866108781172	3.50934161861841	3.23588472280256
"1700030K09Rik"	2703	0.301095710294148	4.81840638861084	0.369023732593129	0.55966764277268	0.84730055592046	"1700030K09Rik"	5.15380266907967	5.02959297630097	4.60464423597806	4.3241412404885	4.46919159916466	5.11195685489892
"1700031F05Rik"	1361	-0.819681160017218	2.99716803815885	0.278896659666806	0.611149045496278	0.87380649604544	"1700031F05Rik"	-0.172592888111676	4.35779916547499	-0.790170607098226	-0.0569652969198602	2.70209871516714	4.24135550774634
"1700037C18Rik"	1097	-1.39998870558253	2.11674670920107	2.64680020307196	0.140770981996076	0.46355906731791	"1700037C18Rik"	2.37891191276853	-0.397609253421112	1.37832854790239	2.90866257828106	2.27391571998228	2.31052742044141
"1700037F03Rik"	287	0.134166592613014	3.04576898488925	0.0196526817269299	0.891829470583627	0.97376351446681	"1700037F03Rik"	-0.406403106912337	3.79513477182364	4.10186473254554	1.42461279241799	2.80227546733482	3.04916737760307
"1700037H04Rik"	1975	0.263846138264999	4.80124573419585	0.346336848964161	0.571743213107224	0.853099106215614	"1700037H04Rik"	5.34733249262841	4.62744666374229	4.68714361380943	5.06979131195239	4.52051549576384	4.28432824400885
"1700041G16Rik"	2069	0.550120115049836	2.67042942403197	0.564794377468724	0.472953132250665	0.796429678084309	"1700041G16Rik"	3.11316706827388	3.14166555669259	2.40459324597351	2.6024728384703	2.10486525620435	2.34341147243219
