"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"1700049J03Rik"	6128	0.456076650959769	2.53066419835849	5.9002267899879	0.0381581341997994	0.299350656402286	"1700049J03Rik"	2.58674984982878	1.961745685125	2.29279711549803	2.84616733735728	2.82849532807327	2.52844770294996
"1700056E22Rik"	967	0.349163873286401	0.786743462845631	1.16777984002366	0.308086531804514	0.653520644354902	"1700056E22Rik"	1.26932700158444	0.299226275772469	0.0902387511929859	1.00237027434715	1.28147585149004	0.427649719031931
"1700066B19Rik"	2651	-0.282134304489552	1.42692048114384	1.58763277242913	0.23949366547265	0.591640718136634	"1700066B19Rik"	1.72133301234412	1.44138166917177	1.47711310602606	1.57631823135226	1.12230000791978	1.11277003934253
"1700066M21Rik"	4239	0.0691053021980947	3.06768068677895	0.204331069423812	0.661992216886212	0.866701400339815	"1700066M21Rik"	3.22620312672536	2.91933138589968	2.92396965969454	3.31200970331452	3.23093593463197	2.71963684081186
"1700094D03Rik"	3085	0.0340863724564526	4.13024176355424	0.0940679845638563	0.766076173769607	0.912644258419061	"1700094D03Rik"	3.99198531036242	3.99967107316779	4.32982803174453	4.09395332678851	4.14713778114818	4.18787354768618
"1700096K18Rik"	1449	0.145735516400029	3.39422639765305	1.11957474521677	0.317702603703535	0.658348182334356	"1700096K18Rik"	3.41797352404855	3.34853192447264	3.19098370515703	3.31200970331452	3.59460924394184	3.47972347633451
"1700102P08Rik"	1933	-0.192158031164159	1.79023283216205	0.784151425493053	0.399017155570533	0.711747868836803	"1700102P08Rik"	1.82528725939453	1.73440066222495	2.03790903664496	1.2599079198894	1.74202820499297	1.99642534183841
"1700109H08Rik"	715	0.148472598779703	1.57278365062633	0.454560722269119	0.517192959123745	0.782406267666573	"1700109H08Rik"	1.58581339074188	0.846715808716579	1.90835526940567	1.73320461964679	1.21989655846023	1.86926228011012
"1700113A16Rik"	983	-0.124754856635787	0.88268795172062	0.219455730474084	0.650642826669608	0.861757741260966	"1700113A16Rik"	0.782966636084322	0.811237819630209	1.1730479336511	0.966688197987179	0.50092888207593	0.942716970940378
"1700123O20Rik"	1891	0.00759397554506102	5.46837038388949	0.0123370621354179	0.914007402789833	0.971831976895051	"1700123O20Rik"	5.48813031479101	5.55365929937331	5.34532613130123	5.47676108836597	5.56304445627417	5.37008034922443
"1810013L24Rik"	4074	0.183161132876938	5.37698487919322	3.49283287362551	0.0946111657096777	0.415465975079873	"1810013L24Rik"	5.39152401442576	5.3554765081769	5.04942461348516	5.42675401718011	5.82197533952435	5.08540018740115
"1810014B01Rik"	1620	0.168656060589583	3.0678665210932	1.21880410791254	0.298361999232666	0.647093177448649	"1810014B01Rik"	2.64473405507212	3.15691761678227	3.10489001501328	3.1142103972338	3.21524267977523	3.09741566084106
